Handle,Layer,Basin_ID,Elevation,Area_SqFt,Depth,Incremental_Vol_CF,Cumulative_Vol_CF,Cumulative_Vol_AF
8C4D,0,A1,1197,10162.71,N/A,N/A,N/A,N/A
8C4C,0,A1,1198,11748.71,1,10955.71,10955.71,0.2515
8C4B,0,A1,1199,13435.23,1,12591.97,23547.68,0.5406
8C45,0,A1,1200,15222.29,1,14328.76,37876.44,0.8695
8C62,0,A2,1197,10162.71,N/A,N/A,N/A,N/A
8C61,0,A2,1198,11748.71,1,10955.71,10955.71,0.2515
8C60,0,A2,1199,13435.23,1,12591.97,23547.68,0.5406
8C5F,0,A2,1200,15222.29,1,14328.76,37876.44,0.8695
